Aluminium,Elevation,Nitrogen,Organic Carbon,PH,Soil Moisture,Texture,Variance,Yield,cluster
46,556,73,2,65,4.654892921,6,0.004654535092,0.8501499891,1
47,154,55,2,65,5.36279583,9,0.01064998005,0.8255500197,1
46,867,56,2,68,6.846814632,6,0.02159063891,1.335399985,1
55,1393,64,4,57,22.78585052,4,0.02271605656,1.855049968,2
46,785,56,2,70,6.190820217,6,0.0179817751,1.26154995,1
52,1669,114,6,54,19.75752831,1,0.009908577427,1.617300034,3
49,1576,77,2,67,16.55594635,1,0.4595853686,3.256999969,0
45,208,51,2,67,7.74776125,6,0.01813846827,1.227349997,1
44,225,52,2,68,7.74776125,9,0.008054495789,0.854550004,1
57,2220,114,4,63,16.18502426,4,0.1880841851,2.392699957,3
47,607,62,2,66,7.585030556,6,0.02025789954,1.275699973,1
46,547,61,2,66,4.880426884,6,0.006866743788,0.9428499937,1
56,1356,83,4,60,11.69568157,1,0.0149819348,1.273200035,2
47,115,52,2,66,3.873099566,9,0.009961743839,1.27699995,1
48,591,53,2,67,5.502869606,6,0.02133156918,0.7957000136,1
54,2048,97,5,64,6.606188297,1,0.01267996989,1.671550035,4
46,49,67,3,62,3.873099566,6,0.02421457507,1.107149959,1
49,1177,61,2,69,10.61869431,6,0.01018843334,1.269600034,1
46,233,58,2,64,5.656566143,6,0.01445264835,1.101199985,1
50,1523,81,4,67,16.17746353,1,0.3839944899,3.202500105,0
48,612,52,2,67,7.766949654,6,0.04341100529,1.245100021,1
55,1201,80,4,63,18.11284447,3,0.02650925703,1.384899974,2
48,768,68,2,66,7.68307972,3,0.03515512124,1.506299973,1
50,1594,73,2,62,6.495947361,3,0.01351887919,1.16110003,4
52,2084,107,4,65,6.775710106,4,0.03673161939,1.654049993,4
48,760,56,1,70,6.959218502,6,0.01183339953,1.271299958,1
48,68,71,2,66,3.873099566,6,0.02570107765,1.126749992,1
59,1942,114,6,56,20.81811714,1,0.0186048504,1.723749995,3
48,1495,64,2,65,10.61996555,6,0.07761829346,1.568600059,1
47,203,60,2,66,5.656566143,6,0.04142988473,1.445000052,1
47,1213,61,2,61,7.908875465,6,0.0604279004,1.633450031,1
55,1383,73,5,56,20.47533417,1,0.02492425218,1.836249948,2
45,651,62,2,64,4.508432388,6,0.0153102437,1.350900054,1
56,1856,105,5,58,12.68871689,1,0.00541747734,2.032049894,3
50,1238,79,2,70,15.18422127,6,0.682525754,3.429500103,0
56,1895,86,5,56,17.35907745,1,0.006062906701,1.967049956,2
55,2015,91,4,60,19.92481995,1,0.3714939952,3.021150112,0
46,717,57,2,66,4.297014713,6,0.007683116943,0.8296499848,1
54,1303,68,3,65,11.69568157,4,0.01916765422,1.60619998,4
50,1171,71,3,58,5.56032896,6,0.04518163577,1.52365005,1
46,1174,60,2,66,5.945804596,6,0.008429654874,1.14349997,1
59,2048,128,7,56,20.81811714,1,0.03452656791,1.775900006,3
56,2168,119,6,60,10.82009888,1,0.03194949776,1.735100031,3
46,1117,63,2,61,5.945804596,6,0.006605591625,1.167099953,1
57,1209,71,4,55,18.79302979,4,0.01115683094,1.697649956,2
58,1891,119,6,55,20.81811714,1,0.01532033551,1.601799965,3
57,2184,107,6,56,19.86532021,4,0.3337665796,2.692349911,0
50,1151,85,3,59,4.643328667,3,0.01864376664,1.132449985,4
53,2499,114,6,61,16.99972534,4,0.07072801888,1.355700016,3
55,1936,93,3,63,16.55594635,4,0.5608115792,3.48574996,0
54,1298,73,3,61,19.79767227,4,0.01136230305,1.535300016,2
58,1431,113,5,54,12.91508484,1,0.03869979456,1.303599954,3
51,1344,70,3,59,7.908875465,1,0.06727015227,1.74909997,4
58,1509,117,5,54,10.97380257,1,0.05575158447,1.449800014,3
56,1356,77,4,57,22.78585052,4,0.02788987756,1.820000052,2
53,1150,68,2,63,18.11284447,6,0.04167356715,1.322100043,4
45,792,56,2,63,5.208451271,6,0.005864271428,0.8219500184,1
54,1183,74,4,67,12.24644375,1,0.009187757969,1.416800022,4
47,123,64,2,58,6.394533634,6,0.03081912734,1.583799958,1
47,33,75,2,60,7.871505737,6,0.0112996269,1.444149971,1
56,2348,134,7,61,10.34131336,1,0.0474248901,1.983299971,3
57,1400,74,4,54,21.16743279,1,0.02681089193,1.706200004,2
46,346,52,4,65,5.596578121,6,0.02870108187,1.226950049,1
43,869,56,2,61,4.873876572,6,0.003167897929,0.8780500293,1
46,852,66,2,65,5.208451271,6,0.003213419113,1.045850039,1
49,1213,60,3,58,10.11738777,6,0.01818996482,1.25150001,1
43,1070,60,2,60,5.276130676,6,0.01152877696,1.091950059,1
55,2330,117,5,59,10.34131336,4,0.02803770825,2.047549963,3
57,1676,81,5,58,20.11994362,1,0.01722495444,2.037549973,2
56,1572,108,5,51,22.19878006,1,0.03924310952,1.862400055,2
56,2042,93,5,56,20.53647995,1,0.3320856988,2.939899921,0
46,560,72,2,66,5.005792141,6,0.01223073993,0.8891000152,1
59,1474,111,5,57,10.97380257,1,0.05802452564,1.448850036,3
48,974,64,2,66,4.382484436,3,0.001536414027,1.020599961,1
48,820,64,3,63,4.749230862,6,0.0219436679,1.254150033,1
51,1344,85,3,56,5.56032896,3,0.0339855887,1.443249941,4
59,1249,94,4,55,12.91508484,1,0.04519986734,1.599050045,2
52,1076,85,4,57,7.766949654,1,0.01446233969,1.349599957,4
